店舗,新台入替回数,総導入台数,平均差枚数,平均回転数,勝率
キング666東海,26.0,312.0,7.471153846153846,4067.230769230769,0.40384615384615385
マリオン十番町,15.0,71.0,5.830985915492958,274.4225352112676,0.19718309859154928
GOGO千代田,6.0,70.0,-5.928571428571429,717.3571428571429,0.21428571428571427
ZENT豊田本店,28.0,349.0,-10.851002865329512,7558.43553008596,0.4326647564469914
オーギヤ西尾,11.0,106.0,-12.622641509433961,4159.830188679245,0.29245283018867924
KEIZアピタ伊賀上野,11.0,99.0,-15.373737373737374,1849.1313131313132,0.29292929292929293
プレイランドキャッスル小牧,32.0,602.0,-19.10797342192691,4572.593023255814,0.42857142857142855
プレイランドキャッスル上社,36.0,335.0,-20.949253731343283,3593.173134328358,0.4
メガコンコルド春日井,32.0,477.0,-24.22012578616352,7030.88679245283,0.4129979035639413
キング観光サウザンド生桑,35.0,600.0,-25.863333333333333,5309.745,0.4
がちゃぽん南,27.0,211.0,-27.113744075829384,5743.184834123223,0.44549763033175355
M&K道光寺,12.0,97.0,-34.01030927835052,2240.257731958763,0.38144329896907214
KYORAKU妙音通,26.0,201.0,-34.14427860696517,3324.1144278606967,0.38308457711442784
タイキ伊勢小木,17.0,122.0,-37.868852459016395,2350.598360655738,0.3524590163934426
キング観光いなべ,39.0,245.0,-40.159183673469386,3654.6857142857143,0.42857142857142855
ホームラン四日市駅西,13.0,169.0,-44.75739644970414,2658.3668639053253,0.3431952662721893
A-FLAG津,24.0,133.0,-46.94736842105263,2612.96992481203,0.3684210526315789
パチンコ富士養老,17.0,126.0,-48.404761904761905,859.8095238095239,0.29365079365079366
ZENT猪高,9.0,93.0,-53.59139784946237,2585.451612903226,0.3655913978494624
KEIZ中川運河,28.0,396.0,-55.3459595959596,2987.520202020202,0.3813131313131313
グリフィン穂積,13.0,186.0,-62.215053763440864,3677.489247311828,0.3602150537634409
タイキ豊橋藤沢,12.0,140.0,-63.26428571428571,3666.0714285714284,0.34285714285714286
メガコンコルド西尾,46.0,201.0,-66.23383084577114,3497.8009950248756,0.35323383084577115
マリオンガーデン1000,11.0,108.0,-71.24074074074075,1677.5277777777778,0.25925925925925924
ホームラン川越,11.0,164.0,-74.45121951219512,3751.371951219512,0.3780487804878049
キング観光サウザンド今池2号,33.0,260.0,-77.25384615384615,4160.696153846154,0.4076923076923077
ホームラン津,10.0,101.0,-79.5940594059406,3938.09900990099,0.33663366336633666
プレイランドキャッスルワンダー,30.0,669.0,-81.1150971599402,4105.040358744394,0.40059790732436473
僕のAPAN美のかも,12.0,129.0,-87.31782945736434,1921.4186046511627,0.2868217054263566
KOHAKU天白,9.0,59.0,-87.94915254237289,1954.7627118644068,0.3389830508474576
オータ豊橋,14.0,179.0,-89.63128491620111,3112.4525139664806,0.36312849162011174
APANCLUB山ノ手,12.0,117.0,-89.78632478632478,2748.6068376068374,0.42735042735042733
富士サーキット,15.0,88.0,-93.64772727272727,843.8181818181819,0.26136363636363635
FUJI芸濃,13.0,103.0,-95.59223300970874,971.5631067961165,0.21359223300970873
KYORAKU西,21.0,224.0,-96.67410714285714,3494.4776785714284,0.3482142857142857
ZENT稲沢,26.0,418.0,-97.4401913875598,3046.1985645933014,0.43779904306220097
チャンピオンタイキ岡崎伊賀,7.0,54.0,-99.07407407407408,1403.111111111111,0.3333333333333333
キング観光新瑞,33.0,144.0,-105.15277777777777,2755.75,0.375
パチンコFUJI可児,14.0,80.0,-105.2875,868.775,0.2875
キング観光サウザンド栄若宮大通,27.0,1295.0,-107.05791505791505,7301.601544401545,0.41003861003861003
KEIZ多治見,9.0,120.0,-107.09166666666667,4003.5833333333335,0.35
KEIZ尾張旭,9.0,159.0,-108.17610062893081,6559.490566037736,0.4528301886792453
A-FLAG瀬戸,29.0,97.0,-109.5979381443299,2486.814432989691,0.3917525773195876
マルシン777,27.0,334.0,-110.01796407185628,3141.1676646706587,0.41916167664670656
APANCLUB弘法通り,9.0,149.0,-113.71812080536913,4433.959731543624,0.35570469798657717
リブレ遊援館,29.0,376.0,-113.97606382978724,4899.726063829788,0.3537234042553192
JP888,28.0,269.0,-120.27137546468401,6541.769516728625,0.3903345724907063
ホームラン四日市,13.0,122.0,-126.52459016393442,2384.6147540983607,0.2540983606557377
キング観光サウザンド栄東新町,31.0,268.0,-132.97388059701493,6019.873134328358,0.40671641791044777
ホームラン菰野,13.0,186.0,-135.13978494623655,3613.543010752688,0.3602150537634409
プレイランドキャッスル記念橋南,38.0,375.0,-140.44533333333334,4789.706666666667,0.368
ZENT和合ケ丘,11.0,74.0,-140.59459459459458,1399.2702702702702,0.28378378378378377
ラッキープラザ可児,33.0,234.0,-145.23504273504273,4661.354700854701,0.3547008547008547
サンシャインKYORAKU平針,27.0,276.0,-145.28623188405797,4908.724637681159,0.391304347826087
オータ西,12.0,75.0,-154.89333333333335,1674.3866666666668,0.3466666666666667
オーギヤXO,12.0,143.0,-156.02797202797203,3768.7972027972028,0.3916083916083916
パーラーワールド小牧,51.0,162.0,-156.9814814814815,1775.111111111111,0.30246913580246915
メガコンコルド岡崎インター,23.0,754.0,-158.395225464191,7756.192307692308,0.40450928381962864
オーギヤDO,11.0,77.0,-158.74025974025975,3044.194805194805,0.35064935064935066
ホームラン平田,10.0,100.0,-162.04,2982.31,0.28
キング観光鈴鹿インター,36.0,174.0,-170.48850574712642,3375.614942528736,0.39080459770114945
ぱちんこ太陽,11.0,104.0,-170.72115384615384,1730.4615384615386,0.3269230769230769
プレイランドキャッスル大曽根,44.0,667.0,-172.34932533733132,3994.4512743628184,0.38980509745127434
